,cust_index,Title,Author,Summary
4551,4551,The Lie We Tell Ourselves,Anonymous,A Dark Brotherhood member's frustration and their relationship with the Night Mother
4552,4552,The Light and The Dark,Irek Unterge,"This work is the precursor to all the theology that surfaced in and after TES:Redguard. It mentions the struggle of the two entities, Order and Chaos, it also mentions et'Ada... In other words, The Monomyth and its aspects evolved from this book."
4553,4553,The Lightless Oubliette,Anonymous,Kynbriefing for the Lightless Oubliette
4554,4554,The Lion Guard Wants You!,Anonymous,Recruitment pamphlet promising glory and adventure
4555,4555,The Little Alkosh's Log,Anonymous,The log of a Khajiiti sailor
4556,4556,The Liturgy of Affliction,"Vexis Velruan, Anias Gael (scribe)","Memoirs of Vexis Velruan, the man who explore the destruction fanatically by sacrificing anything, including his own body. A typical man who had been touched by Sheogorath aspect of Mania."
4557,4557,The Lives of Njabi,Anonymous,
4558,4558,The Living Flesh,Reezal-Jul,A dark creation lives
4559,4559,The Living Gods,Durillis the Theologian,A theological examination of the Dunmer Tribunal
4560,4560,The Living Woods,Anonymous,An essay about Gnarl.
4561,4561,The Llodos Plague,Alchemist Merdyndril,A sinister plot to engineer a pandemic
4562,4562,The Locked Room,Porbert Lyttumly,"Yana is a locksmithing student who is interested in the theory and technique of the craft more than the practical considerations of it. Arthcamu is her impatient, pragmatic, and cruel instructor. By the end of the story, one of their deaths is imminent!"
4563,4563,The Lost Communion,Anonymous,An Argonian rekindles his connection to the Hist
4564,4564,The Lost Fort Faleria,Anonymous,The tale of a Cyrodiilic noble whose love of an elven woman drives him to madness
4565,4565,The Lost Islands of Old Yokuda,Hazadiyya Sea-Queen,A poetic description of the island remnants of Yokuda
4566,4566,The Lost Prophecy,Gilvas Barelo,"One of the Nerevarine Prophecies, annotated by the Dissident Priests."
4567,4567,The Lost Warrior,Anonymous,
4568,4568,The Lunar Lorkhan,Fal Droon,An explanation of how Tamriel's moons are the decaying body of Lorkhan.
4569,4569,The Lurching Dead,Solly Gaudet,The author aims to convince mother about zombies
4570,4570,The Lure of the Camonna Tong,Vorar Vendu,"A former thug tells of a particularly brutal assignment from the Tong, in hopes of scaring away those who thought to join"
4571,4571,"The Lusty Argonian Footman, Volume 1",Anonymous,
4572,4572,The Lusty Argonian Maid,Crassius Curio,A hilariously raunchy tale of an Argonian maid and her Imperial master.
4573,4573,"The Lusty Argonian Maid, A Song",Anonymous,A song version of the famous story
4574,4574,The Lute of Blue Longing,Anonymous,
4575,4575,The Mabrigash Trial,Thorgo,A chance encounter with a failed Mabigrash
4576,4576,The Madness of Pelagius,Tsathenes,A story about Emperor Pelagius III Septim. Read in conjunction with other historical accounts.
4577,4577,The Madness of Pelagius,Tsathenes,A short biography of the mad Pelagius III.
4578,4578,The Mage's Cipher,Anonymous,Clues to unlocking a treasure
4579,4579,The Making of Wading-Nests,Lanyaarne Abitius,Research on making wading-nest
4580,4580,The Manifesto of Make Way,Anonymous,Correcting perceived weakness through anger
4581,4581,The Many Threads,Anonymous,"A series of clues, framed as riddles"
4582,4582,The Maormer of Pyandonea,Anonymous,Overview and origin of the Maormer and Pyandonea
4583,4583,The March Explored,Fenlil the Wayfarer,Fragmented guide to Reaper's March
4584,4584,The Marksmanship Lesson,Alla Llaleth,"The basic argument against mistreating your Bosmer slaves, especially those with exeptional bow ability."
4585,4585,The Marriage of Moon and Tide,Clan Mother Tsradama,A quick religious book about how Nirni makes the tides
4586,4586,The Martyrdom of Saint Pelin,Priestess Adie Rodeau,Legend of a saintly man's sacrifice
4587,4587,The Massacre at Cormount,Camoran Gorinir,Altmeri betrayal and the murder of Valenwood's true king
4588,4588,The Master's Truth,Anonymous,Invocation of Mehrunes Dagon
4589,4589,The Masters' Hall,Anonymous,"A group of treasure hunters come upon a mysterious, and deadly, ruin"
4590,4590,The Maulborn Manifesto,Anonymous,Mission and goals of a charitable society
4591,4591,The Meaning of the Hidden Fawn,Druid Anouk,
4592,4592,The Memories of Sotha Sil,Varlinsi Arandu,A brief introduction to how Sotha Sil removed his memories to make way for divinity
4593,4593,The Memory Stone,Makela Leki,"Personal diary of Leki, one of the Redguard warrior-saints. Connects tightly to Destri Melarg's cycle about Sword-Singers. Leki (or, rather, her image) played a major role in TES: Redguard."
4594,4594,The Miner's Lament,Anonymous,Working in a mine is hard and thankless work
4595,4595,The Minotaur Song,Anonymous,"A song about minotaurs, just like the title says"
4596,4596,The Mirror,Berdier Wreans,A story about an exceptional fighter and his showdown with his greatest enemy.
4597,4597,The Mirrored Way,Anonymous,
4598,4598,The Monochrome Paintbrush,Anonymous,An altmeri folktale about a paintbrush and the artist who used it to her doom
4599,4599,The Monomyth,Anonymous,A theology book that contains some of the most common creation myths.
4600,4600,The Monomyth,Anonymous,A theology book that contains some of the most common creation myths.
4601,4601,The Moon Cats and their Dance,Clan Mother Ahnissi (attributed to),Another accounting of the Lunar Lattice
4602,4602,The Moons Rhyme,Anonymous,
4603,4603,The Mysteries of Moravagarlis,Anonymous,An Ayleid ruin that gives its inhabitants bad dreams
4604,4604,The Mysterious Mermaid of Anvil,Anonymous,"WhO built this statue, and wwhat does it represent?"
4605,4605,The Mystery of Artaeum,Penewen,"A report for Ayrenn, concerning the nature of Artaeum and the Psijic Order"
4606,4606,The Mystery of Factotums,Associate Zanon,
4607,4607,The Mystery of Gargoyles—Solved!,Porbert Lyttumly,Are gargoyles really just goblins? This man thinks so.
4608,4608,The Mystery of the Factotums,Associate Zanon,A basic introduction to the mechanical guardians of the Clockwork City
4609,4609,The Myth of the Sea Sloads,Raavarion,
4610,4610,The Na-Totambu of Yokuda,Anonymous,How the Yokudan government gave rise to the modern political system in Hammerfell
4611,4611,The Naming Song of Clavicus Vile,Anonymous,
4612,4612,The Nereid's Dilemma,Anthil Morvir,The chances for romance seem slender in a race with but one gender
4613,4613,The Never-Ending Scroll,Anonymous,An Altmeri folktale about a cursed scroll
4614,4614,The New Lord,Anonymous,A powerful new Lord appears at Red-Zeal Keep
4615,4615,The Night Mother Watches,Slim-Jah,Persuading a fellow Argonian to join the Dark Brotherhood
4616,4616,The Night Mother's Truth,Gaston Bellefort,A history of the Night Mother
4617,4617,The Night Mother's Truth,Gaston Bellefort,How the Dark Brotherhood split from the Morag Tong
4618,4618,The Nightingales,Gallus Desidenius,Learn about the legendary Nightingales
4619,4619,The Nirnroot Missive,"Sinderion; Sharmirin Raythorne, ed.",Transcript of a speech given by Sinderion.
4620,4620,The Nomads of Nirn,Anonymous,Song about a guild
4621,4621,The Notebook of Mage Gadris,Anonymous,A mage makes a breakthrough in reversing the soul-meld
4622,4622,The Nycotic Cult,Ordinator Alurua,Overview of a misguided Daedric cult
4623,4623,The Oblivion Crisis,Praxis Sarcorum,A historical look at the main quest of TESIV:Oblivion.
4624,4624,The Obsidian Husk,Anonymous,History and description of an artifact prized by Mephala's cultists
4625,4625,The Ogres of Wrothgar: A Continuing Treatise,Cirantille,"Addendum to previous work, ""dispelling"" some ""misconceptions"""
4626,4626,The Old Ways,Celarus the Loremaster,"The definitive guide to the Psijic Order and their leader, Celarus."
4627,4627,The Old Ways: The Customs and Philosophy of Grave and Faithful Council,Celarus,Looks like the mission statement of the Psijic Order.
4628,4628,The Omen of Deception,Anonymous,To know a Daedra's true name...
4629,4629,The Only Record of Our Plan,Archdruid Devyric,
4630,4630,The Onus of the Oghma,Phrastus of Elinhir,A brief history of writing things down.
4631,4631,The Ooze: A Fable,Anonymous,One common telling of how the Bosmer came to be
4632,4632,The Orc Song,Anonymous,A drinking song about Orcs
4633,4633,The Order of the Ancestor Moth,Anonymous,An older version of Pension of the Ancestor Moth
4634,4634,The Order of the Black Worm,Journeyman Qualitatis,A report on the rise and present dealings of the necromantic order
4635,4635,The Order of the Waking Flame,Peregrina Pompitalus,Discusses the Order of the Waking Flame
4636,4636,The Origin of The Mages Guild,Salarth,"How Vanus Galerion made Magic available to everyone. Describes the structure of the Guild, which is not relevant to gameplay."
4637,4637,The Origins of Conjuration,Anonymous,How the Direnni learned to summon Daedra
4638,4638,The Pack of Archon's Grove,Gerrodroth of the Thornfang Pack,A pack of werewolves make Summerset Isles their new home
4639,4639,The Pale Man,Anonymous,
4640,4640,The Path of Transcendence,Celedaen,"A journal of Celedaen, a member of Mages Guild who practiced Necromancer and in the process to gain lichdom."
4641,4641,The Path to Shada,Anonymous,A riddle.
4642,4642,"The Peasant Princess, A Play in One Act",Anonymous,A parable about knowing one's place
4643,4643,The Penitent's Tale,Verney Maulold,The words of a tortured soul in Dagon's realm
4644,4644,The Penultimate Laugh,Anonymous,
4645,4645,The Perfect Batch,Anonymous,How to make some great Skooma
4646,4646,The Perfect Hiding Spot,Anonymous,An ambush awaits
4647,4647,The Perfect Host,"Malenford Hlaalu, House Event Planner Extraordinaire",A guide to hosting a memorable party
4648,4648,The Perfection of Fearfangs Cavern,"Boward, Regent of Wriggling Nightmares",A description of a Nedic ruin rich in nirncrux
4649,4649,The Philosophy of Stealth,Red Asp,Advice on hiding by blending in
4650,4650,The Pig Children,Tyston Bane,A vigorous anti-Orcish pamphlete.
4651,4651,The Pig Children,Tyston Bane,A highly bias book about Orcs.
4652,4652,The Pilgrim's Path,Tribunal Temple,"A book describing each of the shrines that need to be visited, before the person accepted as a member of the Temple."
4653,4653,The Piper,Anonymous,A dark Piper comes to town
4654,4654,The Plan to Defeat Dagoth Ur,Lord Vivec,"Another top secret document, prepared exclusively for Nerevarine by Lord Vivec."
4655,4655,The Pledge of Courage,Anonymous,"Take these pledges, as the Stars command."
4656,4656,The Pledge of Obedience,Anonymous,"Take these pledges, as the Stars command."
4657,4657,The Pledge of Perfection,Anonymous,"Take these pledges, as the Stars command."
4658,4658,The Pledge of Piety,Anonymous,"Take these pledges, as the Stars command."
4659,4659,The Pledge of Simplicity,Anonymous,"Take these pledges, as the Stars command."
4660,4660,The Pledge of Vigilance,Anonymous,"Take these pledges, as the Stars command."
4661,4661,The Poet-Champion of Vastyr,Chanter Milius,
4662,4662,The Poison Song,Bristin Xel,"A fascinating epic set in the aftermath of the War with the Dwemer and House Dagoth. A story of secrets, betrayal, survival, love, incest and redmeption, this is one you can't miss."
4663,4663,The Posting of the Hunt,Anonymous,"An instruction note of the Ritual of the Innocent Quarry, also called the Wild Hunt (not to be confused with the Bosmer ritual)."
4664,4664,The Prayers of Baranat,Anonymous,"A story about the adventure of very faithful man, in his quest to release the kidnapped lady. Reading this will increases hand-to-hand skill."
4665,4665,The Predecessors,Yngvar the Wanderer,"Essay about the ruins of Shivering Isles. Theorizes about a cataclysm that occurs every a thousand years, the Greymarch."
4666,4666,The Pretension of High Elf Jewelry,Elredith,A pamphlet exhausting the beauty of Altmeri jewelry
4667,4667,The Price of Praxis,Ceruval Rolumaril,"Autobiography of an outcast (apraxic) Altmer, and his quest to return to society"
4668,4668,The Pride of Alkosh,Clan Mother Hizuni,
4669,4669,The Primate: Before the Light,Midara Salviticus,The early days of Anvil's Primate Artorius
4670,4670,The Primate: Finding Faith,Midara Salviticus,The young Artorius Ancrus begins his religious training
4671,4671,The Primate: Rise to Glory,Midara Salviticus,The future Primate performs a miracle
4672,4672,The Prison Must Fall,Anonymous,
4673,4673,The Prophet Arden-Sul,Anonymous,"Story about the prophet Arden-Sul, in mania and dementia points of view."
4674,4674,The Proving Festival,Laije-Palak Rulician,A personal description of an Akaviri festival by a citizen of Hakoshae shortly after its founding
4675,4675,The Prowler's Log,Anonymous,The log of the Prowler
4676,4676,The Psijic Order,Vrithilin,"An introduction to the Order, from a Sapiarch's perspective"
4677,4677,The Purities of Mania,Anonymous,
4678,4678,The Quiet Room,Anonymous,
4679,4679,"The Raneviad, Volume II",Anonymous,Ranev gains the six celestial blessings
4680,4680,The Ravings of Fenroy,Fenroy,A book of 'poems'.
4681,4681,The Reach Food Letters,Anonymous,Letter about Reachmen food
4682,4682,The Reach's Progress,Vund,Reachmen plot to assault Dragonbridge by blowing up the bridge
4683,4683,The Reachmen are Coming!,Anonymous,
4684,4684,The Real Barenziah,Plitinius Mero (uncredited),"A classic! The story of Barenziah, her life, and her involvement in the politics of Tamriel. Pretty raunchy in places."
4685,4685,The Real Barenziah (Complete),Plitinius Mero (uncredited),A must read! Very long. Pretty raunchy in some places. Contains a prehistory to the plot of TES:Arena. Features Tiber Septim.
4686,4686,The Real Investigator Vale?,Adandora,"Biography of and interview with Arabelle Davaux, a former spy, warrior, and detective, and perhaps the author of the Investigator Vale novels"
4687,4687,The Real Nerevar,Anonymous,"Another book about Nerevar, this time the Telvanni version."
4688,4688,The Reality of Spirits,Felari-ko,
4689,4689,The Realm as we Know It,Anonymous,A snippet about the Maelstrom Arena
4690,4690,The Realm of Shadows,Anonymous,
4691,4691,The Rear Guard,Tenace Mourl,"An amusing tale of a man trapped in a castle, and the ordeals that he must go through to eat."
4692,4692,The Reclamations,Thara of Rihad,Summary of the transition from Almsivi worship to the New Temple
4693,4693,The Red Book of 3E 426,Anonymous,"This book details the business, Councilors, and activities of Great House Redoran in 3E 426"
4694,4694,The Red Book of Riddles,Anonymous,
4695,4695,The Red Curse,Dettethor Pantenne,A Breton noble becomes obsessed with resurrecting the Red Eagle
4696,4696,The Red Kitchen Reader,Simocles Quo,A chef reminisces about memorable meals.
4697,4697,The Red Paint,Anonymous,Description of a ceremony of the Wood Orcs
4698,4698,The Red Year,"Melis Ravel, ed.",A collection of personal accounts of the Red Year in Morrowind.
4699,4699,The Reformatory Register,Anonymous,List of inmates in the reformatory
4700,4700,The Refugees,Geros Albreigh,A group of people hiding from the Camoran Usurper witness the unusal birth of his son.
4701,4701,The Remnant of Light,Beredalmo the Signifier,"Tells of the death of Anumaril, the ""Remnant of Light"""
4702,4702,The Requisite Book of Daedra,Anonymous,Lists the Daedric princes and their spheres of influence.
4703,4703,The Restless,Unknown,History and rumors of Cyrus after his adventure in Stros M'kai
4704,4704,The Restoration of Fort Grief,Idrian Volturno,Background and plans for renovations on Fort Grief
4705,4705,The Restricted List of Noble Artifacts,Anonymous,A list of extra fancy weapons which only extra fancy people may wield
4706,4706,The Right Mattock for the Job,Anonymous,A mine is attacked by ogres
4707,4707,The Ring of Daggers,"Aemilianus Falto, Auctor Veritas of the Legionary's Gazette",A slanderous smear of King Emeric's associates
4708,4708,The Rise and Fall of the Blades,Anonymous,A history of the Blades.
4709,4709,The Rise of Cormount,Anonymous,The conflict between tradition and foreign influence in a Valenwood town
4710,4710,The Rise of Queen Ayrenn,Nuulehtel of Skywatch,A very pro-Ayrenn biography
4711,4711,The Rite of Boethiah's Gauntlet,Thendaramur Death-Blossom,A poem detailing the selection of Boethiah's champion
4712,4712,The Road to Sovngarde,Anonymous,One summary and hypothesis on Shor's realm
4713,4713,The Root Sunder Market,Anonymous,Description of an archeological site
4714,4714,The Root Sunder Roots,Anonymous,
4715,4715,"The Rose of Navire, Part the First",Anonymous,
4716,4716,"The Rose of Navire, Part the Second",Anonymous,
4717,4717,"The Rose of Navire, Part the Third",Anonymous,
4718,4718,The Rotwood Enigma,Anonymous,A mysterious figure helps a band of mercenaries
4719,4719,The Royal House of King Eamond,Seneschal Derric Andras of Castle Evermore,Glowing praise for House Guimard of Evermore
4720,4720,The Royal Lineage of Sentinel,Anonymous,A summary of the noble lineage of a king
4721,4721,The Ruby Necklace,Anonymous,An ominous portent of a famous symbol
4722,4722,The Ruddy Fangs,Zayreba Sharpclaw,A new member's introduction to this group of murderous thieves
4723,4723,The Saga of Captain Wereshark,Anonymous,
4724,4724,The Sage,Aegrothius Goth,"A story about a great mage who spent numerous years learning and researching, finally settled in the Kurallian mountains in High Rock and started teaching younger Mages. Looks like this story was initially meant as a gameplay hint, but I don't know about anything of the like in the game."
4725,4725,The Salas En Expedition,Lady Clarisse Laurent,History of the Elven ruins of Salas En in Hammerfell
4726,4726,The Sanguine Cult,Anonymous,"A ""genuine"" letter calling off an assassination contract"
4727,4727,The Scaled Elves,Marin Laroix,"Introduction to the Maormer Leviathans, supposedly a scaled fusion of mer and serpent"
4728,4728,The Scent's the Thing,Anonymous,Dealing with plague husks
4729,4729,The Scroll of Avalian,Anonymous,
4730,4730,The Scroll of Usunok,Anonymous,
4731,4731,The Scroll of Vaia,Anonymous,
4732,4732,The Sea Elf Threat,Hercian Stalo,
4733,4733,The Sea It Rises,Anonymous,A sea chanty of the Long Coast
4734,4734,The Sea Stone,Anonymous,
4735,4735,The Seasons of Argonia,Jekka-Wass Paxalt,The Argonian months and their astrological meanings
4736,4736,The Second Akaviri Invasion,Yngmaer Raven-Quill,Background and outline of events of the Kamal invasion
4737,4737,The Second of the Letters,Anonymous,
4738,4738,The Second Trial,Anonymous,
4739,4739,The Secret of Ragnvald,Anonymous,A poem about the defeat of King Otar of Ragnvald.
4740,4740,The Secret Origins of Tribute,Brunile Dufont,
4741,4741,The Serpent’s Blade,"Cassipia, Regent of Serpentine Strategems",Cassipia needs someone to guard the path to Skyreach
4742,4742,The Serpent’s Song,Balarius,Observations on Lamia power and songs.
4743,4743,The Seven Curses,Gilvas Barelo,From the Apographa of the Dissident Priests. Part of the whole Nerevarine/House Dagoth oral tradition
4744,4744,"The Seven Shadows of Rajhin, pt. 1",Anonymous,A famous tale of the Footpad
4745,4745,The Seven Visions,Anonymous,Prophesies of the Nerevarine.
4746,4746,The Shadowcutter Blade,Anonymous,Story about a sword that cuts shadows
4747,4747,The Sharpest Blade,Anonymous,
4748,4748,The Shattering Sword,Anonymous,A monologue on honor and victory
4749,4749,The Shields of Senchal,Ziri,How the Empire came to protect Senchal following the Knahaten Flu
4750,4750,The Shivering Apothecary,Cinda Amatius,A short note about the alchemical ingredients that can be found in the Shivering Isles.
4751,4751,The Siege of Ald Marak,Siege-Master Germia Demetrius,Describes a battle the forces of the Reman dynasty won against Morrowind
4752,4752,The Sigil Shard,Anonymous,A brief musing on Sigil Stones
4753,4753,The Silver-Tongued Quill,Thieves Guild Master Laisif,A thief attempts to unload a cursed quill
4754,4754,The Sixteen Kingdoms,Senior Scholastic Hilo Sylla,A traditional children's rhyme about the 16 regions of Elsweyr and their people
4755,4755,The Sky Spirits,Amun-dro,An ancient text on a few of the oldest and most important spirits in a pre-modern Khajiiti pantheon
4756,4756,The Slave Pits of Coldharbour,Anonymous,A guide for the proper use and storage of soul-shriven
4757,4757,The Society of the Dragon,Anonymous,Come show your devotion to Akatosh in a less time intensive manner
4758,4758,The Society of the Steadfast,Phrastus of Elinhir,
4759,4759,The Song of Gods,Anonymous,A song about ancient Nordic totemic gods
4760,4760,The Song of Grandfather Frost,Anonymous,
4761,4761,The Song of Khunzar-ri,Anonymous,
4762,4762,The Song of Pelinal,Anonymous,"These seven books describe various aspects of the legendary hero, Pelinal Whitestrake."
4763,4763,The Song of Pelinal,Anonymous,A series of fragments describing Pelinal and his deeds.
4764,4764,"The Song of Pelinal, Volume 10",Anonymous,
4765,4765,The Song of the Word,Anonymous,A traditional song based on the 36 Lessons of Vivec
4766,4766,The Song of Uncle Sweetshare,Anonymous,"A song of person named Uncle Sweetshare, a skooma distributor/producer in Solstheim."
4767,4767,The Sonnet of Aetherius Art,Anonymous,A song about a guild
4768,4768,The Soulkeeper's Urn,Anonymous,Inscription on an urn
4769,4769,The Sounding Horn,Anonymous,Another invocation of Stendarr
4770,4770,The Source of Power,Anonymous,A powerful battery eludes them
4771,4771,The Source of the Bone,Selalleth,The behaviour of arrows made from different types of bones
4772,4772,The Source of the Formula,Gavros,The alchemist reveals the nature of his miraculous transmutation potion
4773,4773,The Spawn of Molag Bal,Anonymous,Description of the King of Rape
4774,4774,The Spectral Beings,Anonymous,
4775,4775,The Spindleclutch Expedition,Anonymous,Party members of an exploratory mission
4776,4776,The Spinners of Y'ffre,Cirantille,A description of these holy storytellers of Valenwood
4777,4777,The Sport of Clans,Anonymous,Description of the Orcish version of dodgeball
4778,4778,The Standing Stones,Anonymous,An essay about the Obelisks that randomly dotted the Shivering Isles grounds.
4779,4779,The Star-Eyed Bride of Alinor,Anonymous,A sad poem about a woman lost at sea
4780,4780,The Stars Have Eyes,Anonymous,"An ominous, repeating note"
4781,4781,The Steel Shrikes Proclamation,Anonymous,A Redguard call to conquest
4782,4782,The Sticky-Fingered Lute,Kinlady Lairilcilwe,A cursed loot is given to a young boy
4783,4783,The Storm and the Sunflower,Anonymous,
4784,4784,The Stormcrag Family Crypt,Vunhilde Stormcrag,Story of a haunted and cursed Nordic tomb
4785,4785,The Stormfist Clan,Thora Far-Wanderer,History of a disgraced Nordic clan
4786,4786,The Story of Aevar Stone-Singer,Anonymous,A Skaal legend of a boy who returns the gifts of the All-Maker from the Greedy Man
4787,4787,The Story of Lysirius,Bresne Smythe,"A story about a hero who had a gift from Boethiah, a shield called Fearstruck."
4788,4788,The Story of Princess Eselde,Anonymous,Thinly veiled propaganda of a typical Breton sort
4789,4789,The Strange Case of Ja-Reet,Anonymous,Examination of an Argonian born away from the Hist
4790,4790,The Strange Case of Ragnthar,Guylaine Marilie,Overview of a mysterious Dwemeri ruin that seems to exist outside of time and space
4791,4791,The Strangeness of Dryskins,"Kaal Dreenjee of the Naga-Kur, Tyrrya Len (translator)",A naga's view of man and mer
4792,4792,The Stranger,Anonymous,"These are the words of the prophecy called ""The Stranger."" More Nerevarine stuff. In fact, these are the words that roll across the screen in the movie that introduces Morrowind. ""Many fall, but one remains."""
4793,4793,The Stricture and the Grasp,Galeria Hexos,A guide to Fargrave
4794,4794,The Sublime Brazier,Augusta Purusius,Investigating the brazier that lights the Dragonfires
4795,4795,"The Sultry Argonian Bard, v1",Ellya Erdain,A raunchy play of innuendo.
4796,4796,The Summoner,Anonymous,A poem about a summoning gone wrong
4797,4797,The Swallowed City,Beredalmo the Signifier,A city pulled into Oblivion for abandoning their Prince
4798,4798,The Sword of Clan Ice-Blade,Anonymous,A note detailing how the sword can be used to show heritage
4799,4799,The Taking of Abamath,Anonymous,A shameful loss for the Wood Orcs
4800,4800,The Tale of Dro'Zira,"Dro'Zira; Sonia Vette, ed.",A Khajiiti account of the battle of Red Moutain. Interesting parallels with the Songs of King Wulfharth.
4801,4801,The Tale of Princess Anurraame,Anonymous,A sad tale of a princess
4802,4802,The Tale of Syrabane,Anonymous,A song about Syrabane and the All Flags Navy
4803,4803,The Tale of Three Moons,Anonymous,
4804,4804,The Talos Mistake,Leonora Venatus,An apologist piece for the banning of Talos worship.
4805,4805,The Tava's Bounty Ledger,Anonymous,
4806,4806,The Tempest and the Sunflower,Nivienne Tonnerre,
4807,4807,The Ten Commands Of The Nine Divines,Anonymous,Instructions from the Imperial Cult about how to live a good life.
4808,4808,The Tenets of Destruction,Quiston Merian,Thoughts on Destruction
4809,4809,The Ternion Monks,Elgad the Scribe,Information on a monastic order dedicated to ancient gods
4810,4810,The Thief God's Treasures,Wafaruz the Veracious Spitter,A description of Rajhin's apotheosis and legendary exploits
4811,4811,The Thief's Luck,Anonymous,
4812,4812,The Thief's Riddle,Anonymous,
4813,4813,The Third Door,Annanar Orme,"A humerous song about the love and scorn of Ellabeth, Queen of the Axe."
4814,4814,The Third Era Timeline,Jaspus Ignateous,A brief timeline of the third era.
4815,4815,The Thousand Arrows,Anonymous,A most mysterious champion
4816,4816,The Three's Petition to the King,Anonymous,Career criminals attempt to negotiate a pardon
4817,4817,The Time Is Now,Anonymous,A poem about the three constellation guardians
4818,4818,The Time Is Past,Anonymous,A poem about the Silvenar
4819,4819,The Time of the Ebonheart Pact,Alla Lalleth,A document promoting the virtues of the Ebonheart Pact
4820,4820,The Time Will Come,Anonymous,Another poem about the Silvenar and constellations
4821,4821,The Times Are Changing,Molemir,
4822,4822,The Tomb of Ja'darri,Anonymous,Epitaph for an ancient Khajiiti hero
4823,4823,The Tonenaka Shrine,Magnate Feina-Darak,History of this Akaviri shrine in the middle of Rimmen
4824,4824,The Toothmaul Contract,Anonymous,A goblin contract with the Veiled Heritance
4825,4825,The Totems of Hircine,Anonymous,Describes artifacts granted to men by Hircine to focus Lycanthropy.
4826,4826,The Tower of the Wolf,Anonymous,An excited architect gushes about the new construction in Solitude's castle
4827,4827,The Translated Works of Tosmorn,Xandier Edette,Translated songs of Reachmen
4828,4828,The Treasure of Clickyville,Anonymous,Instructions for finding treasure
4829,4829,The Treasure of Stillrise Village,Deskin,
4830,4830,The Tree Is On Fire!,Anonymous,
4831,4831,The Trial of Air,Anonymous,Note about the third trial
4832,4832,The Trial of Constitution,Anonymous,
4833,4833,The Trial of Fire,Anonymous,Note about the first trial
4834,4834,The Trial of Martial Knowledge,Anonymous,
4835,4835,The Trial of Perseverance,Anonymous,
4836,4836,The Trial of the Arena,Anonymous,
4837,4837,The Trial of the True Path,Anonymous,
4838,4838,The Trial of the True Path.,Anonymous,
4839,4839,The Trial of Wits,Anonymous,
4840,4840,The Trials of Hissmir,"Sali-Ze, Hissmir Oblate",What the Hist challenges test
4841,4841,The True Balance,Anonymous,A valuable lesson saves a life
4842,4842,The True Fate of King Ranser,"Serinal Gane, Royal Scribe of Shornhelm",How King Ranser turned his armies into undead after his failed rebellion
4843,4843,The True Nature of Magnar,Volas Night-Eyes,"Legends of Magnar Child-Eater, a werewolf local to Orsinium"
4844,4844,The True Nature of Orcs,Anonymous,A short book about Malacath and the Orcs.
4845,4845,The True Nature of Orcs (Banned Ed.),Anonymous,
4846,4846,The True Nature of Tolvir,Volas Night-Eyes,Pamphlet about a famous werewolf praying on Wrothgar
4847,4847,The True Noble's Code,Serjo Athyn Sarethi,"The handbook for Great House Redoran. Explains their rules, requirements, and the virtues of duty, gravity, and piety."
4848,4848,The True-Told Tale of Hallin,Prince Fahara'jad,
4849,4849,The Truth in Sequence,Deldrise Morvayn,"The divine lessons of Sotha Sil, concerning the world and our place in it"
4850,4850,The Truth of Minotaurs,Tyronius Liore,"How did the minotaurs originate? Not with Alessia, this scholar claims"
4851,4851,The Truth of the Hunter,Anonymous,A tale of a hunter
4852,4852,The Ubiquitous Sinking Isle,Lailfin,Explores the histories and myths of Tamriel's many sunken landmasses
4853,4853,The Ulen Matter,Vendil Ulen,A vengeful Hlaalu's plot for assassinating Councilor Morvayn.
4854,4854,The Unbreakable Redguard,Anonymous,"Sai Shan is difficult to break, but the Amulet must be found"
4855,4855,The Undaunted Need You!,Anonymous,Invitation to join the undaunted
4856,4856,The Unearthing of Kardala,Muhay at-Turna,Information about the Star-Gazers and the many mysteries of Craglorn and the constalations
4857,4857,The Unholy Temple,Anonymous,This insult must be avenged
4858,4858,The Unpleasantness in Koeglin,Belene Ancois,
4859,4859,The Unraveling Staff,Judicator Umberwen,A magical staff meant to untangle threads accidentally unravels reality
4860,4860,The Unseen Potential of Clockwork,Anonymous,
4861,4861,The Vagaries Of Magicka,Anonymous,"An excerpt from what appears to be an instruction booklet of some kind. Found most often in Telvanni districts. Interesting mentions of things like ""Restorals"" and ""Congeries""."
4862,4862,The Values of Haj Uxith,Anonymous,The guiding principles of this scholarly group
4863,4863,The Vanishing Crux,Masura-dra,"A mysterious, magic-filled ruin"
4864,4864,The Vile Truth of Barbas,Pelagius Habor,An examination of the relationship between Clavicus Vile and his hound
4865,4865,The Viridian Sentinel,Anonymous,A tale of a stalwart and ancient guardian
4866,4866,The Vitalizer Fluid Must Flow,Anonymous,Importance of Vitalizer Fluid
4867,4867,The Voice of the People,Anonymous,A new Silvenar assumes his mantle
4868,4868,The Voyages of Il-Am-Hakim,Anonymous,The incomplete adventures of a pirate
4869,4869,The Vvardvark Experiment,Magister Varkenel,A Telvanni experiment goes wrong and results in the cutest critter since the Guar
4870,4870,The Waiting Door,Canon Nileno Nirith,A child's account of their family's ancestral shrine
4871,4871,The Wandering Skald,Anonymous,A song extolling the virtues of the warrior poets of Nord society
4872,4872,The Wandering Spirits,Amun-dro,A heretical text on et'ada and Daedra and their adversarial relationships in ancient Khajiiti theology
